,namespace,Média de exercícios em relatórios de AD por turma
0,sas,202.0
1,equipe,88.0
2,aescobjetivo,31.03448275862069
3,testevictorhugo,30.0
4,santoamerico,8.75
5,ceprimeiromundo,4.453125
6,mariliamattoso,4.153846153846154
7,rede,2.5
8,master,2.365325077399381
9,qescola,0.2
10,overabelcabral,0.0
11,overlimaesilva,0.0
12,macvest,0.0
13,magister,0.0
14,maplebearslz,0.0
15,overnascimentodecastro,0.0
16,overmossoro,0.0
17,overmarciliofurtado,0.0
18,meta,0.0
19,minhalista,0.0
20,moaciralves,0.0
21,montessori,0.0
22,osequim,0.0
23,overjoaopessoa,0.0
24,murilorocha,0.0
25,navegasas,0.0
26,novotempo,0.0
27,litteratus,0.0
28,nucleopva,0.0
29,objetivolorena,0.0
30,objetivoteresina,0.0
31,oficinadoestudante,0.0
32,nucleocriativo,0.0
33,acessoalmirantetamandare,0.0
34,liessinbarra,0.0
35,lasalleaguasclaras,0.0
36,fleming,0.0
37,francobrasileiro,0.0
38,fundacaobradesco,0.0
39,galois,0.0
40,garra,0.0
41,gerabixo,0.0
42,idaam,0.0
43,implantacao,0.0
44,insa,0.0
45,institutoauxiliadoradf,0.0
46,institutocristao,0.0
47,institutoeurofarma,0.0
48,institutosaojose,0.0
49,integra,0.0
50,integradaeducativa,0.0
51,invictus,0.0
52,iracemarufino,0.0
53,isem,0.0
54,itamarati,0.0
55,jardimsaopaulo,0.0
56,jazzvestibular,0.0
57,joaobelem,0.0
58,overzonanorte,0.0
59,overpontanegra,0.0
60,physicsalmirantebarroso,0.0
61,pauloviana,0.0
62,provaspoliedro,0.0
63,qescola.qmagico.com.br,0.0
64,saberviver,0.0
65,saea,0.0
66,sagradafamilia,0.0
67,santadoroteia,0.0
68,santamariacn,0.0
69,santoantonio,0.0
70,sasadapt,0.0
71,sasadaptem,0.0
72,seletivoeducallis,0.0
73,simbios,0.0
74,simuladoita,0.0
75,sobral,0.0
76,souhabilis,0.0
77,spdacruz,0.0
78,stellamarisaguaverde,0.0
79,stellamarisjuveve,0.0
80,stellamarisxaxim,0.0
81,studos,0.0
82,universitariolondrina,0.0
83,universobarcarena,0.0
84,villalobos,0.0
85,vitae,0.0
86,psantagema,0.0
87,progressaoig,0.0
88,pesenglish,0.0
89,progressaodc,0.0
90,physicsalcindocacela,0.0
91,estantemagica,0.0
92,physicsaugustomontenegro,0.0
93,physicsbatistacampos,0.0
94,physicscidadenova,0.0
95,physicsconselheirofurtado,0.0
96,physicsmacapa,0.0
97,physicsumarizal,0.0
98,pioxi,0.0
99,pioxiicolegio,0.0
100,plannetaosasco,0.0
101,plannetataboao,0.0
102,poliedro,0.0
103,poliedropv,0.0
104,poliedrotreinamento,0.0
105,portinari,0.0
106,porto,0.0
107,portoseguro,0.0
108,positivoon,0.0
109,prevest,0.0
110,primeirodemaio,0.0
111,prismapatrocinio,0.0
112,profederal,0.0
113,faculdadeflamingo,0.0
114,escolamaster,0.0
115,esperanza,0.0
116,colegiobetelbrasileirosp,0.0
117,cem,0.0
118,charlesdarwin,0.0
119,ciadosaber,0.0
120,cmdpii,0.0
121,cnslpb,0.0
122,cognitivo,0.0
123,colegioalphaunis,0.0
124,colegioanchietai,0.0
125,colegioanchietaii,0.0
126,colegioarena,0.0
127,colegiobatistaindependente,0.0
128,colegiobianguloiv,0.0
129,cecbdf,0.0
130,colegiobilac,0.0
131,colegiobrasilia,0.0
132,colegiocb,0.0
133,colegiocognos,0.0
134,colegiodasamericas,0.0
135,colegiodompedrosegundo,0.0
136,colegioeag,0.0
137,colegioecursodesafio,0.0
138,colegioecursoprogressao,0.0
139,colegioeducallis,0.0
140,colegioensitec,0.0
141,ceespacolivre,0.0
142,ceabb,0.0
143,acessoboqueirao,0.0
144,amaisteste,0.0
145,acessocampolargo,0.0
146,acessocampolargokids,0.0
147,acessofazendariogrande,0.0
148,acessohauer,0.0
149,acessopinhais,0.0
150,acessosantafelicidade,0.0
151,acessosjpinhais,0.0
152,adrianochan,0.0
153,alfacembilingue,0.0
154,amadeus,0.0
155,amais,0.0
156,anchietaba,0.0
157,cbpdigital,0.0
158,apogeustoantonio2,0.0
159,aprovest,0.0
160,arlindocavalcanti,0.0
161,beityaacov,0.0
162,bertelsmann,0.0
163,brasilcursinhos,0.0
164,camerinocursos,0.0
165,casdinhosjc,0.0
166,casdvest,0.0
167,castelobruxo,0.0
168,cats,0.0
169,colegioflamingo,0.0
170,colegiofuturageracao,0.0
171,colegioglobal,0.0
172,domus,0.0
173,crescercampinas,0.0
174,cursinhoeach,0.0
175,cursobase,0.0
176,cursoenfase,0.0
177,cursoisfera,0.0
178,cursoleopoldo,0.0
179,cursoprogressao,0.0
180,cursosazambuja,0.0
181,dante,0.0
182,deltaeducacional,0.0
183,dommga,0.0
184,eacorcovado,0.0
185,colegioguilhermedealmeida,0.0
186,eccos,0.0
187,educamais,0.0
188,educandarioterciocorreia,0.0
189,educarse,0.0
190,eduqo,0.0
191,einsteinassis,0.0
192,elitecuritibaemilianoperneta,0.0
193,eluneonline,0.0
194,escola,0.0
195,escolaceciliameireles,0.0
196,escoladeimpacto,0.0
197,crb,0.0
198,cparaiso,0.0
199,contemporaneolagoanova,0.0
200,contemporaneocidadeverde,0.0
201,colegioiguatemy,0.0
202,colegiointegral,0.0
203,colegiojoaopaulo,0.0
204,colegioliceu,0.0
205,colegiomagnum,0.0
206,colegiomodelo,0.0
207,colegiomundial,0.0
208,colegionobre,0.0
209,colegionovageracao,0.0
210,colegionovopatio,0.0
211,colegioplanck,0.0
212,colegiopremium,0.0
213,colegioprogresso,0.0
214,colegioradar,0.0
215,colegioriobranco,0.0
216,colegiosantamaria,0.0
217,colegioser,0.0
218,colegiosete,0.0
219,colegiouirapuru,0.0
220,colegiouniverso,0.0
221,colegioup,0.0
222,conexaosaber,0.0
223,contemporaneo,0.0
224,wilsondeandradebarreto,0.0
