,namespace,Nº de relatórios de AA diferentes visualizados,Nº de AAs em que iniciou-se a classificação de habilidades,Nº de AAs em que foi finalizada a classificação de habilidades,Início da classificação / Visualizações do relatório,Finalização da classificação / Início da classificação,Finalização da classificação / Visualizações do relatório
0,porto,84,7,2,0.08333333333333333,0.2857142857142857,0.023809523809523808
1,colegiobrasilia,165,8,0,0.048484848484848485,0.0,0.0
2,cbpdigital,77,2,0,0.025974025974025976,0.0,0.0
3,eccos,41,2,0,0.04878048780487805,0.0,0.0
4,master,133,2,0,0.015037593984962405,0.0,0.0
5,villalobos,73,2,0,0.0273972602739726,0.0,0.0
6,aescobjetivo,76,1,0,0.013157894736842105,0.0,0.0
7,colegiocb,69,1,0,0.014492753623188406,0.0,0.0
8,colegiodasamericas,17,1,0,0.058823529411764705,0.0,0.0
9,colegioeducallis,98,1,0,0.01020408163265306,0.0,0.0
10,colegiointegral,111,1,0,0.009009009009009009,0.0,0.0
11,colegionovageracao,4,1,0,0.25,0.0,0.0
12,colegioplanck,55,1,0,0.01818181818181818,0.0,0.0
13,crb,239,1,0,0.0041841004184100415,0.0,0.0
14,maplebearslz,130,1,0,0.007692307692307693,0.0,0.0
15,pioxi,15,1,0,0.06666666666666667,0.0,0.0
16,acessoalmirantetamandare,50,0,0,0.0,0.0,0.0
17,acessoboqueirao,33,0,0,0.0,0.0,0.0
18,acessocampolargo,26,0,0,0.0,0.0,0.0
19,acessocampolargokids,4,0,0,0.0,0.0,0.0
20,acessofazendariogrande,28,0,0,0.0,0.0,0.0
21,acessohauer,33,0,0,0.0,0.0,0.0
22,acessopinhais,11,0,0,0.0,0.0,0.0
23,acessosantafelicidade,57,0,0,0.0,0.0,0.0
24,acessosjpinhais,64,0,0,0.0,0.0,0.0
25,adrianochan,11,0,0,0.0,0.0,0.0
26,amadeus,32,0,0,0.0,0.0,0.0
27,amais,8,0,0,0.0,0.0,0.0
28,apogeustoantonio2,1,0,0,0.0,0.0,0.0
29,beityaacov,1,0,0,0.0,0.0,0.0
30,brasilcursinhos,3,0,0,0.0,0.0,0.0
31,casdinhosjc,2,0,0,0.0,0.0,0.0
32,cats,2,0,0,0.0,0.0,0.0
33,ceabb,24,0,0,0.0,0.0,0.0
34,ceespacolivre,23,0,0,0.0,0.0,0.0
35,cem,47,0,0,0.0,0.0,0.0
36,ceprimeiromundo,157,0,0,0.0,0.0,0.0
37,ciadosaber,29,0,0,0.0,0.0,0.0
38,cmdpii,1,0,0,0.0,0.0,0.0
39,cnslpb,20,0,0,0.0,0.0,0.0
40,colegioalphaunis,35,0,0,0.0,0.0,0.0
41,colegioarena,27,0,0,0.0,0.0,0.0
42,colegiobatistaindependente,26,0,0,0.0,0.0,0.0
43,colegiobetelbrasileirosp,38,0,0,0.0,0.0,0.0
44,colegiobilac,25,0,0,0.0,0.0,0.0
45,colegioeag,5,0,0,0.0,0.0,0.0
46,colegioecursodesafio,2,0,0,0.0,0.0,0.0
47,colegioecursoprogressao,335,0,0,0.0,0.0,0.0
48,colegioensitec,64,0,0,0.0,0.0,0.0
49,colegioflamingo,21,0,0,0.0,0.0,0.0
50,colegiofuturageracao,22,0,0,0.0,0.0,0.0
51,colegioglobal,44,0,0,0.0,0.0,0.0
52,colegioguilhermedealmeida,10,0,0,0.0,0.0,0.0
53,colegioiguatemy,39,0,0,0.0,0.0,0.0
54,colegiojoaopaulo,62,0,0,0.0,0.0,0.0
55,colegioliceu,7,0,0,0.0,0.0,0.0
56,colegiomagnum,2,0,0,0.0,0.0,0.0
57,colegionobre,2,0,0,0.0,0.0,0.0
58,colegiopremium,3,0,0,0.0,0.0,0.0
59,colegioser,3,0,0,0.0,0.0,0.0
60,colegiosete,13,0,0,0.0,0.0,0.0
61,colegiouirapuru,10,0,0,0.0,0.0,0.0
62,colegiouniverso,8,0,0,0.0,0.0,0.0
63,colegioup,5,0,0,0.0,0.0,0.0
64,conexaosaber,14,0,0,0.0,0.0,0.0
65,contemporaneocidadeverde,23,0,0,0.0,0.0,0.0
66,contemporaneolagoanova,22,0,0,0.0,0.0,0.0
67,crescercampinas,124,0,0,0.0,0.0,0.0
68,cursobase,1,0,0,0.0,0.0,0.0
69,cursoenfase,3,0,0,0.0,0.0,0.0
70,cursoisfera,10,0,0,0.0,0.0,0.0
71,cursoleopoldo,2,0,0,0.0,0.0,0.0
72,cursosazambuja,14,0,0,0.0,0.0,0.0
73,deltaeducacional,6,0,0,0.0,0.0,0.0
74,domus,1,0,0,0.0,0.0,0.0
75,educandarioterciocorreia,19,0,0,0.0,0.0,0.0
76,elitecuritibaemilianoperneta,7,0,0,0.0,0.0,0.0
77,escolaceciliameireles,6,0,0,0.0,0.0,0.0
78,escolamaster,5,0,0,0.0,0.0,0.0
79,faculdadeflamingo,25,0,0,0.0,0.0,0.0
80,fleming,1,0,0,0.0,0.0,0.0
81,idaam,2,0,0,0.0,0.0,0.0
82,insa,6,0,0,0.0,0.0,0.0
83,institutoauxiliadoradf,1,0,0,0.0,0.0,0.0
84,institutoeurofarma,1,0,0,0.0,0.0,0.0
85,integra,19,0,0,0.0,0.0,0.0
86,integradaeducativa,62,0,0,0.0,0.0,0.0
87,invictus,71,0,0,0.0,0.0,0.0
88,isem,17,0,0,0.0,0.0,0.0
89,itamarati,1,0,0,0.0,0.0,0.0
90,lasalleaguasclaras,9,0,0,0.0,0.0,0.0
91,macvest,1,0,0,0.0,0.0,0.0
92,magister,3,0,0,0.0,0.0,0.0
93,manoelbatista,1,0,0,0.0,0.0,0.0
94,mariliamattoso,47,0,0,0.0,0.0,0.0
95,meta,1,0,0,0.0,0.0,0.0
96,moaciralves,4,0,0,0.0,0.0,0.0
97,montessori,1,0,0,0.0,0.0,0.0
98,murilorocha,2,0,0,0.0,0.0,0.0
99,novotempo,2,0,0,0.0,0.0,0.0
100,nucleocriativo,30,0,0,0.0,0.0,0.0
101,objetivolorena,92,0,0,0.0,0.0,0.0
102,osequim,3,0,0,0.0,0.0,0.0
103,overabelcabral,85,0,0,0.0,0.0,0.0
104,overjoaopessoa,7,0,0,0.0,0.0,0.0
105,overlimaesilva,31,0,0,0.0,0.0,0.0
106,overmarciliofurtado,30,0,0,0.0,0.0,0.0
107,overmossoro,17,0,0,0.0,0.0,0.0
108,overnascimentodecastro,1,0,0,0.0,0.0,0.0
109,overpontanegra,36,0,0,0.0,0.0,0.0
110,overzonanorte,26,0,0,0.0,0.0,0.0
111,pauloviana,1,0,0,0.0,0.0,0.0
112,physicsalcindocacela,7,0,0,0.0,0.0,0.0
113,physicsalmirantebarroso,4,0,0,0.0,0.0,0.0
114,physicsaugustomontenegro,2,0,0,0.0,0.0,0.0
115,physicsbatistacampos,4,0,0,0.0,0.0,0.0
116,physicscidadenova,4,0,0,0.0,0.0,0.0
117,physicsconselheirofurtado,5,0,0,0.0,0.0,0.0
118,physicsmacapa,5,0,0,0.0,0.0,0.0
119,physicsumarizal,18,0,0,0.0,0.0,0.0
120,pioxiicolegio,15,0,0,0.0,0.0,0.0
121,plannetataboao,1,0,0,0.0,0.0,0.0
122,poliedro,5,0,0,0.0,0.0,0.0
123,poliedrotreinamento,1,0,0,0.0,0.0,0.0
124,portinari,50,0,0,0.0,0.0,0.0
125,portoseguro,14,0,0,0.0,0.0,0.0
126,prevest,1,0,0,0.0,0.0,0.0
127,prismapatrocinio,135,0,0,0.0,0.0,0.0
128,profederal,7,0,0,0.0,0.0,0.0
129,progressaodc,78,0,0,0.0,0.0,0.0
130,progressaoig,91,0,0,0.0,0.0,0.0
131,provaspoliedro,222,0,0,0.0,0.0,0.0
132,psantagema,25,0,0,0.0,0.0,0.0
133,qescola,6,0,0,0.0,0.0,0.0
134,sagradafamilia,12,0,0,0.0,0.0,0.0
135,santadoroteia,4,0,0,0.0,0.0,0.0
136,santamariacn,4,0,0,0.0,0.0,0.0
137,santoamerico,41,0,0,0.0,0.0,0.0
138,simbios,1,0,0,0.0,0.0,0.0
139,souhabilis,2,0,0,0.0,0.0,0.0
140,spdacruz,43,0,0,0.0,0.0,0.0
141,stellamarisaguaverde,8,0,0,0.0,0.0,0.0
142,stellamarisjuveve,60,0,0,0.0,0.0,0.0
143,stellamarisxaxim,16,0,0,0.0,0.0,0.0
144,universitariolondrina,117,0,0,0.0,0.0,0.0
145,universobarcarena,2,0,0,0.0,0.0,0.0
