,namespace,Tempo de correção por aluno por questão
0,acessoalmirantetamandare,0 days 02:16:50.604012454
1,acessocampolargo,0 days 01:30:09.168382842
2,acessocampolargokids,0 days 00:00:47.135788500
3,acessofazendariogrande,0 days 08:23:05.715012166
4,acessohauer,0 days 01:04:30.485020555
5,acessosantafelicidade,0 days 02:36:56.582415250
6,acessosjpinhais,0 days 01:03:50.422210571
7,aescobjetivo,0 days 00:43:56.404996428
8,amadeus,4 days 07:22:20.605031809
9,ceespacolivre,0 days 14:13:31.037009150
10,ciadosaber,0 days 20:21:35.009736
11,colegioalphaunis,0 days 03:37:44.967830733
12,colegiobatistaindependente,0 days 11:36:04.333188097
13,colegiobetelbrasileirosp,0 days 08:59:02.469666826
14,colegiobilac,0 days 01:26:29.150647457
15,colegiobrasilia,0 days 04:42:12.289781400
16,colegiocb,0 days 01:10:19.624464275
17,colegiodasamericas,0 days 06:16:05.404794333
18,colegioecursodesafio,0 days 00:49:59.924267500
19,colegioecursoprogressao,0 days 06:43:36.928329
20,colegioeducallis,1 days 05:18:13.581042304
21,colegioensitec,0 days 00:17:34.250737181
22,colegioflamingo,0 days 03:22:30.608949250
23,colegiofuturageracao,0 days 01:51:49.348554514
24,colegioglobal,0 days 03:31:01.070189592
25,colegioguilhermedealmeida,0 days 01:52:30.895931
26,colegioiguatemy,0 days 08:09:07.707973333
27,colegiointegral,0 days 09:58:13.340459
28,colegiojoaopaulo,0 days 15:00:25.514090125
29,colegioplanck,0 days 09:34:16.267480857
30,colegiopremium,2 days 18:31:58.940539300
31,colegiouniverso,0 days 01:54:33.178792333
32,colegioup,0 days 01:25:50.528900744
33,crb,0 days 22:52:17.582597363
34,crescercampinas,0 days 14:02:03.542571733
35,cursoisfera,9 days 19:42:25.596636
36,eccos,2 days 01:23:49.390610378
37,educandarioterciocorreia,0 days 05:53:09.618198210
38,einsteinassis,0 days 02:18:26.656244
39,integra,5 days 04:31:07.234184666
40,integradaeducativa,0 days 09:29:16.785248783
41,invictus,0 days 12:18:31.637686750
42,isem,0 days 02:02:08.177134833
43,magister,0 days 00:32:23.536453333
44,maplebearslz,0 days 01:04:27.052660666
45,pioxi,2 days 00:13:16.704938176
46,pioxiicolegio,0 days 00:28:06.123325416
47,portinari,0 days 00:35:47.197389294
48,porto,0 days 00:04:45.119036500
49,progressaodc,0 days 11:14:43.143501500
50,progressaoig,0 days 03:25:52.549987833
51,provaspoliedro,0 days 15:48:49.638509555
52,psantagema,0 days 23:59:27.838749785
53,santoamerico,0 days 00:19:00.423476166
54,spdacruz,0 days 15:32:55.573546220
55,stellamarisjuveve,0 days 01:09:45.952108142
56,villalobos,0 days 09:47:39.349340444
