,namespace,Correção de exercícios discursivos
39,isem,0.0
27,colegiopremium,0.0
18,colegioeducallis,0.0
52,psantagema,0.0
38,invictus,0.0
25,colegiojoaopaulo,0.0
49,progressaodc,0.007171296222872991
30,crb,0.060263838389313734
36,integra,0.10282748267537624
54,spdacruz,0.18227886533592455
51,provaspoliedro,0.2069442152048617
31,crescercampinas,0.22708797513389506
8,amadeus,0.24764574827590455
16,colegiodasamericas,0.349126658012874
26,colegioplanck,0.39446292456976395
11,colegiobatistaindependente,0.4480673061707357
12,colegiobetelbrasileirosp,0.4705305248553578
9,ceespacolivre,0.48064402294972847
33,educandarioterciocorreia,0.5777924300830265
43,overpontanegra,0.6325046152925522
32,eccos,0.6488875106414859
53,santoamerico,0.655102762273992
3,acessofazendariogrande,0.6760007517638669
24,colegiointegral,0.7212625703696769
22,colegioglobal,0.7244052062578036
42,nucleocriativo,0.7301894491551716
7,aescobjetivo,0.7398424651168398
57,universobarcarena,0.7502900532914252
50,progressaoig,0.7975777710776772
37,integradaeducativa,0.7982134433578758
10,colegioalphaunis,0.8107926826361053
48,prismapatrocinio,0.810833165985003
5,acessosantafelicidade,0.8141528722423079
58,villalobos,0.821816599484152
13,colegiobilac,0.8316660528651056
55,stellamarisaguaverde,0.8337502291293112
0,acessoalmirantetamandare,0.8397574597585272
20,colegioflamingo,0.8645143975250632
28,colegiouniverso,0.8715157767883007
29,colegioup,0.8742093010760907
34,einsteinassis,0.8749227515784325
1,acessocampolargo,0.8769927134278879
41,maplebearslz,0.893363050150348
23,colegioiguatemy,0.9036748157503453
40,magister,0.9180798684758845
14,colegiobrasilia,0.9189507177065634
56,stellamarisjuveve,0.9193355221778048
6,acessosjpinhais,0.9311785391545159
4,acessohauer,0.9343199868410018
44,pioxi,0.9351754728009544
15,colegiocb,0.9362181080591188
21,colegiofuturageracao,0.9372912448743581
45,pioxiicolegio,0.9375971083068573
2,acessocampolargokids,0.9380742130037857
46,portinari,0.9382286417185144
35,elitecuritibaemilianoperneta,0.941549617883394
47,porto,0.9629967957428474
19,colegioensitec,0.9721911465443719
17,colegioeag,0.9996332525924921
